MILK	4171138
BLOW	78538
REGULAR	971833
	15719000
ZIP A DEE DO DA	12330
SUPER BLOW	12633
CHARM BLOW	5701
BUBBLE GUM LIQUID CENTER	1892
DARK	516042
FRUIT CHEW	3342
CREEPY FRUITY	2919
MILK & SWEET	3424
HEART	15513
SWEET	13156
CARD	3162
CARD TRIPLE HEART	536
SWIRL	2904
GOURMET	1990
WHITE	82223
DOUBLE LOLLIES	408
DARK & MILK	500435
DARK & MILK & WHITE	61044
FAMILY FAVORITE	222
SEMISWEET	150147
BTS	54153
BLOW SWIRLED EGG	97
TOOTSIE POP	1423
RAINBOW	196
PUMPKIN	1495
GALORE	265
MILK & WHITE	50083
SWEET & SOUR	189
SAME UPC ALL CHC VARIETIES	8612
BUBBLE GUM SHOCKPOP	33
CUBE	126
BLGN DARK	14642
OCEAN POPS	13
BASKETBALL JELLY	16
ANIMAL JELLY	12
BUBBLE	18
SANTA	607
JELLY	640
MK	5774221
SLAP STICK	598
BUBBLE GUM	20711
DUM DUM	89862
POWDER	29922
TWIST & GLOW	5598
SAF-T-POP	5938
BUG	4772
PAINTBRUSH/POWDER SPARKLE	1958
LIQUID	29417
SAF-T-POP WINNIE THE POOH	3949
DUM DUM FILLED	1489
SWEET DARK	46622
SAF-T-POP SWIRL	4944
CARD & STICKER	2479
WINKIE	275
OLD FASHIONED	61
ANIMAL	1506
P-CNDY PAINTBRUSH/POWDER	29
HUG-A-BEAR	13
EXTRA DARK	12027
DK	1588315
PACIFIER	6354
LIP	5009
CANDY SLUSHY/LIQUID	1460
MATTEL	734
ASSORTED	13788
DARK & WHITE	11043
LIP/CARD	3033
SWEET DARK & MILK	12669
POCKET	908
PROJECTOR POP	7335
POCKET CARE BEARS	8897
PROJECTOR POP BATMAN	2568
FIGURINE DSNY PRINCESS	5930
DSNY PIXAR CARS	7097
RACER RING DSNY PIXAR CARS	2422
POCKET LIL BRATZ	1034
LIL BRATZ	1018
HOLDER	3010
FIGURINE SUPERMAN	1301
FILLED	728
PROJECTOR POP RING SUPERMAN	1083
RING ASSORTED	2038
PROJECTOR POP DSNY PIXAR CARS	1125
LIP/TOY	510
PROJECTOR POP EXTREME SPORTS	508
PEEPS/TOY	2478
PEEPS RING	1679
RING PRINCESS	4540
LIQUID BATMAN	30
TROLLZ	22
RING	46790
BABY BOTTLE/POWDER	32581
PUSH	34645
BABY BOTTLE/CANDY	2419
BABY BOTTLE/CANDY PEBBLES	2942
ORNAMENT	3810
RING SPACE GEMS	2161
TOY	40385
BUBBLE GUM SWIRLED	3905
LIQUID/CANDY PEBBLES	21
NICKELODEON	7512
LIQUID SBS	3754
POWDER NFOP	3511
RING SBS	6270
RING CARE BEARS	5487
BLGN MILK	42813
DSNY PRINCESS	1964
SCOOBY DOO	3472
LIGHTS UP	849
MM SBS	3670
SBS/CARD HEART	2284
CARE BEARS/CARD	1179
DORA THE EXPLORER & NICK JR	481
SPIDERMAN FIGURE	1091
CARE BEARS	1246
PUPPY	229
POWDER PRINCESS	1712
SBS	167
BARBIE	103
DINOSAUR	90
JELLY SCOOBY DOO WB	26
WHISTLE	17340
WRIST WRAP	3693
BUNCH	10535
ICED	6365
SKULL	1952
SHELL DSNY PRINCESS	2049
TULIP	3613
ICED SANTA & TREE	1472
CANDY CANE	1380
EGG	2056
TOOL BOX	905
ICED PUMPKIN	1346
ICED SANTA FACE	631
DK & MK	443817
BTS & DARK	1202
BIG SLICE	972
PACIFIER/LIQUID	241
BLGN DARK BLGN MILK BLGN WHITE	4883
DRUMBO/WHISTLE	64
PELON PELO RICO	45
ICED SANTA	54
CONVERSATION HEART	93
DRUMBO	19
SEA CREATURE	16
JELLY BIRD/TOY	165
BUBBLES	19
JELLY FIGURE	4
CRACKLIN' CANDY	7044
DORA THE EXPLORER	1787
LOONEY TUNES	1632
THE FAIRLY ODD PARENTS	2046
MY LITTLE PONY SPP	3805
B-O SPIDERMAN	2590
HARRY POTTER	1342
FUN POP	2675
EGG/MAGIC ZYPPING STICK	674
SWIRLED	1553
WB	1093
JUSTICE LEAGUE	913
RUGRATS	438
B-O SCOOBY DOO	373
SPIDERMAN/CARD	4781
TONGUE TATTOO SANTA	548
MAGIC ZYPPING STICK	4764
KIDDY	283
DSNY	5485
TWIST	1801
PUMPKIN ICED	194
MARVEL	156
SANTA ICED	76
MARVEL/CARD	397
CONVERSATION	66
TWEETY	353
SPIDERMAN	3078
TIGER	50
TAZMANIAN DEVIL	28
TONGUE TATTOO SCREAM	148
SNAKE	3226
SANTA FACE	81
BUGS BUNNY	4
TAZ & TWEETY	4
BUNNY LOVE BEADS	17
SWIRLED TWEETY	46
HEART LOVE BEADS	4
DSNY HEART	2
SWIRLED TWISTY FISH	36
LITE UP PLANE/FAN	9621
B-O DSNY PRINCESS	3824
AMERICAN IDOL	7920
B-O DSNY PIXAR CARS	3895
PR MYSTIC FORCE/TOPPER	2273
GAME	3101
PAINTBRUSH/POWDER	1399
CRAYOLA	1016
B-O PR MYSTIC FORCE	947
LITTLEST PET SHOP/KEY CHAIN	1886
POWDER P-CNDY CRAYOLA	838
BEAR WINNIE THE POOH	728
CANDY PEBBLES FLASH	7332
BLINK	4315
B-O FAN	2343
STAR WARS/KEY CHAIN	808
DSNY PIXAR CARS/TOPPER	3459
PAINT ROLLER/POWDER	3114
KEY CHAIN	374
CARD HELLO KITTY	356
CARD BATMAN	348
CANDY PEBBLES	9110
SPINNING	380
FILLED /LIQUID	396
ALIEN GLOW	344
CHILI POWDER	1023
B-O ROBOTS	205
BLGN DARK & BLGN WHITE	214
LOLLIPAL HEART	191
LITTLE MERMAID/TOPPER	1941
YOYO	331
LOLLIPAL	576
LIQUID SHREK 2	222
LOLLIPAL SANTA	153
SNOWMAN	1026
SUPERMAN/TOPPER	291
GUM	419
LITTLE MERMAID/B-O HANDLE&CKSP	155
SWS WHITE	300
SPP LITTLEST PET SHOP	78
MLB NEW YORK YANKEES	22
CRAYON	24
ORNAMENT WHISTLE	476
SWS DARK	65
CRAYOLA FINGER POP	15
FLASH	208
STOCKING	19
SANTA SPP	20
PEANUTS	2
SUPERMAN	2
SWS BTS	6
TWIST PEANUTS	1
DSNY MICKEY MOUSE	3384
SUPER	1612
TOY WHISTLE HOOPZ FLICKER	8277
WHISTLE FLIP O POP	4157
FACE MICKEY MOUSE	4755
PUMPKIN/B-O HANDLE	544
NECKLACE	984
BUNNY	1459
FLOWER	780
CAT HELLO KITTY	7169
CHRISTMAS TREE	681
RABBIT	385
TOPPER	1045
STAR	512
FILLED/GUM	834
SWIRL HEART	1044
BEAR	376
FOOT	394
FILLED/TAMARIND PULPARINDO	434
ROSE	140
DOLL	84
BUBBLE GUM JAWBREAKER	576
PLANET POP	77
CHILI	422
SANDY POP	67
SEMAFORO LIGHTS	24
DSNY WINNIE THE POOH	24
LIGHT UP	24
GIGGLE	19
DIPPER LICKER	13
DICE	36
PUPPET	9
ASSORTED/VASE	8
FINGER POP RING	7
JELLY CAR	5
FACE WINNIE THE POOH	4
MICRO SPINNER	2
DK & MK & WT	124316
WT	217192
EXTRA DK	165297
MK & SWEET	658
BLGN MK	28140
SWISS BTS	6792
SOY	25
MK & WT	32482
SWISS DK SWISS MK SWISS WT	17945
SWISS MK	56636
SWISS DK	31930
DK & SEMISWEET	30413
SWEET DK	152348
SWEET DK & MK	4001
EXTRA DK & MK	5096
BLGN DK	43598
SWISS WT	4082
BLGN DK & BLGN WT	1660
BLGN WT	537
EXTRA MK	473
DOUBLE DK	1416
BTS & MK	4663
MK & SEMISWEET	9763
BLGN DK & BLGN MK	1422
DK & WT	27000
SWISS SEMISWEET	1755
SWISS DOUBLE MK & SWISS WT	1129
BLGN DK BLGN MK BLGN WT	5101
BLGN MK & BLGN WT	550
BTS & SEMISWEET	1065
BLGN DARK & BLGN MILK	735
BLGN EXTRA STRONG DK	2057
DK BTS	13897
BTS & DK	220
SWISS BITTER	16
VERY DK	325
SWS MILK & WHITE	2
BTS & MK & WT	1837
BITTER	794
TOY COOL KIDS MIX	392
SUGAR FREE	457952
CHOCOLATE COVERED	2
MILK & SWEET & WHITE	7272
DARK & SEMISWEET	1523
MILK & SEMISWEET	5319
SWISS MILK	7326
SWISS WHITE	691
SUGARLESS	360
BITTERSWEET	674
BLGN WHITE	3148
BELGIAN DARK	172
UNPITTED	15
TATTOO	1267
TWISTER	173
NFOP	22
TAFFY	26
B-O HANDLE SPIDERMAN 3	4471
FIGURINE SPIDERMAN	3977
HARRY POTTER BLOOD POP	5234
DSNY PIXAR RATATOUILLE/TOY	4219
RING SHREK THE THIRD	1167
TRANSFORMER/TOY	5612
SOUR BUGS	1125
PRINCESS SPIN POP	2702
PIRATES OF THE CARIBBEAN DROP	963
PALETAS DE MANGOS	684
PRINCESS DROP	523
BONE	855
DSNY PRINCESS/TOPPER	1088
SCOOBY DOO DROP	300
CARE BEARS DROP	3546
BUBBLE GUM/STICKER	106
LITTLEST PET SHOP/TOPPER	1196
TRANSFORMER/TOPPER	859
SBS/CARD	28
BARBIE RING	217
LOLLIES	9
JELLY ROSE	5
POKEMON/STICKER	3
POWDER STICKER	19
EASTER EGG SURPRISE POP	441
POWDER FISH BOWL DPFN	1
ICED/CARD	72
MICKEY MOUSE	31
TONGUE TATTOO	4035
ICED EGG	636
TDAC/CARD	1069
SWIRLED TWISTY	72
SWIRLED TWISTY HEART	65
MAGIC ZYPPING STICK RING	24
JUSTICE LEAGUE/CARD	34
HEART PRECIOUS MOMENTS/CARD	2
DPINCRD	9
DSCH	1
CARD SCOOBY DOO	837
CARD BABW	354
BLGN EXTRA DARK	416
PRINCESS HEART/CARD&PEN&S&STKR	93
TOY SPORTS MIX	41
DECORATED	405
TOY SHREK THE THIRD	2637
B-O FAN SHREK THE THIRD	2498
SPP LITTLE MERMAID	3054
B-O FAN M-C-S-H	1149
HEART/DOLL SWIRL	717
NECKLACE FLASH	963
CHILE REBANADITAS	327
SHELL PHONE PRINCESS	129
PAINTBALL	1284
CHILE	55
B-O LITE UP HELICOPTER FAN	1110
B-O HANDLE	12
INCREDIBLE HULK	18
KONG	6
WHISTLE SPIDERMAN	8
POWDER SUPERMAN	4
LIGHT UP NECKLACE	3446
HEART & FLOWER BOUQUET	33
PARTY TIME	21
TWIST & GLOW PUMPKIN	32
SUPERMAN DROP	609
SUPERMAN/PROJECTOR POP	521
PROJECTOR POP SCOOBY DOO	519
FIGURINE SCOOBY DOO	865
DORA & DIEGO	757
MONSTER RING	573
ARMS & LEGS	967
SWS MILK	1447
HAND	7
SPIDERMAN 3	729
GDO WHISTLE	1466
SANTA/LITE UP FAN	455
TONGUE TATTOO PUMPKIN HEAD	111
LOLLIPAL CAT	50
TURKEY	14
MASK	36
BLGN MILK & BLGN WHITE	1111
WIGGLE	508
BODY PART	3
RUDOLPH DECORATED	1
BITTER & MILK	8
ASSORTED MM	205
SNOOPY	77
DK MK	3812
EXTRA DARK & MILK	882
BLGN BTS	51
EXTRA DARK BTS SEMISWEET MILK	225
BLGN SEMISWEET	3550
DK SEMISWEET	12
DK & SWISS MK	14
DARK & SEMISWEET & WHITE	497
BLGN EXTRA DK	508
BTS & EXTRA DK & MK	39
DEEPLY DK	24
DOUBLE MK	5204
DK & EXTRA DK & MK	931
SEMISWEET & MK & BTS	941
SEMISWEET & WT	553
BLGN MK & DK	1882
DEEP MK	145
BTS & MILK	20
SWEET MILK	393
SWS DARK & SWS MILK	298
BITTER & SWEET & MILK	138
SWISS DARK	3688
DARK & EXTRA DARK & MILK	1
EASTER EGG	1156
CAKE	8
GUITAR HANNAH MONTANA	3216
BALL/HOLDER	2988
PICTURE RING HANNAH MONTANA	3369
DISCO BALL HANNAH MONTANA	1615
PICTURE RING BATMAN	276
RING DSNY PIXAR WALL E	150
DSNY PIXAR WALL E/TOY	90
BATMAN POP SLIDER/TOY	88
BALL	728
HANNAH MONTANA STICKER	1848
HANNAH MONTANA TOON	3684
BOBBLE/NBA	2792
B-O HANDLE SPIDERMAN	946
HIGH SCHOOL MUSICAL TOON	2644
DSNY PIXAR CARS/CARD	1233
HEART DORA & DIEGO/LOLLI CARDS	518
DSNY PIXAR CARS SPP/TOY	462
REINDEER LIPS	446
SNOWMAN HEAD	891
BUBBLE GUM PUMPKIN	93
WILD HEARTS BOUQUET	28
MONSTER GUMMY HEADS	19
LIPS & FANGS	187
DAISY	463
DIZZY SPORT POP	1586
ROBO/WHISTLE	12
HEART DIZZY POP	8
TAZMANIAN DEVIL TWEETY	6
WB FIGURE	4
HEART/CARD	554
HEART SPIDERMAN/CARD	394
CRACKLING CANDY/POWDER	537
POKEMON/CARD	355
SPIDERMAN 3/CARD	350
SHREK	348
GHOSTLY GLOW	42
SLO POKE	54
CRACKLIN CANDY	10
TDAC BONE	9
PRECIOUS MOMENTS/CARD	2
FLOWER/POWDER	687
CARD PIRATES OF THE CARIBBEAN	340
ANCHO PEPPER	111
B-O HANDLE PRINCESS	61
B-O FAN TWEETY	1262
PALERINDAS	27
GRAB POP/GRABBER	442
TWISTLOLLIES	22
ICICLE POP	2815
BUDDY BOO PEANUT/CARD	553
HELLO KITTY	406
SWIRLED HEART	373
ROSE BOUQUET	30
HEADLIGHT HELLO KITTY	131
POWDER STICKER JUSTICE LEAGUE	6
HEADLIGHT	5
EXTRA DK BTS	1639
DK BTS SEMISWEET MK & DK	45
BITTER & MK	4
SWISS BITTERSWEET	30
BUNNY/TOY	474
BLOW CHERRY	295
DUM DUM SHREK	296
PICTURE RING FAIRIES	1383
PRINCESS/CARD	709
HANNAH MONTANA/CARD	557
HIGH SCHOOL MUSICAL/CARD	441
LITTLEST PET SHOP/CARD	361
EASTER BOUQUET BUNNY	128
LOVE LOLLIES HEART	97
RING & STICKER	87
DMMC/CARD	32
DR SEUSS THE GRINCH	1
THE SIMPSONS	51
TROPICAL FISH	3
BATMAN/MAGIC ZYPPING STICK	388
MARVEL HEROES	388
CRAYOLA/CARD & CRAYON	341
EGG HUNT/MAGIC ZYPPING STICK	88
TONGUE TATTOO MONSTER	4
RING/POWDER	720
JELLY HAMTARO	546
SPORTACULAR LOLLIPOPS/POWDER	348
LITE UP EASTER BUNNY/FAN	67
CATATOVILLE/TOY	48
TREE	46
MODERATTO/LIQUID	30
SAILBOAT	28
BOMB	28
CHILLI	12
SANDY POP/CHILI	7
HEART/TOY SWIRL	5
GUM MARIMBAS	2
HEADLIGHT NASCAR	12
HEART/FLOWER & TOY	1
SWISS DK & SWISS BITTER	33
BTS & DK & MK & WT	12
BTS & MILK & WHITE	26
BTS & DARK & MILK	13
BTS & DARK & MILK & WHITE	9
