product group,# of products (Target)
BEER,16
WINE,7
LIQUOR,7
TOBACCO & ACCESSORIES,5
CANDY,5
"GLASSWARE, TABLEWARE",4
SOFT DRINKS-NON-CARBONATED,4
CARBONATED BEVERAGES,4
PACKAGED MEATS-DELI,4
KITCHEN GADGETS,4
"JUICE, DRINKS - CANNED, BOTTLED",4
"JAMS, JELLIES, SPREADS",4
GROOMING AIDS,3
"ICE CREAM, NOVELTIES",3
HOUSEHOLD SUPPLIES,3
TEA,3
"SUGAR, SWEETENERS",3
FRESH PRODUCE,3
PAPER PRODUCTS,3
PREPARED FOOD-READY-TO-SERVE,3
PREPARED FOODS-FROZEN,3
FRUIT - CANNED,3
"SHORTENING, OIL",3
"FLORAL, GARDENING",3
"ELECTRONICS, RECORDS, TAPES",3
CHEESE,3
"CONDIMENTS, GRAVIES, AND SAUCES",3
COOKIES,3
FRAGRANCES - WOMEN,2
"JUICES, DRINKS-FROZEN",2
BATTERIES AND FLASHLIGHTS,2
BREAD AND BAKED GOODS,2
BUTTER AND MARGARINE,2
SOFT GOODS,2
PET CARE,2
"CHARCOAL, LOGS, ACCESSORIES",2
MEDICATIONS/REMEDIES/HEALTH AIDS,2
BAKING SUPPLIES,2
FIRST AID,2
"COT CHEESE, SOUR CREAM, TOPPINGS",2
INSECTICDS/PESTICDS/RODENTICDS,2
VEGETABLES AND GRAINS - DRIED,2
DRESSINGS/SALADS/PREP FOODS-DELI,2
"HARDWARE, TOOLS",2
UNPREP MEAT/POULTRY/SEAFOOD-FRZN,2
VEGETABLES-FROZEN,1
SKIN CARE PREPARATIONS,1
SNACKS,1
"SNACKS, SPREADS, DIPS-DAIRY",1
TOYS & SPORTING GOODS,1
VEGETABLES - CANNED,1
SHAVING NEEDS,1
"SPICES, SEASONING, EXTRACTS",1
VITAMINS,1
"STATIONERY, SCHOOL SUPPLIES",1
"TABLE SYRUPS, MOLASSES",1
UNGROUPED ITEMS,1
BAKED GOODS-FROZEN,1
LAUNDRY SUPPLIES,1
SEWING NOTIONS,1
HAIR CARE,1
"CANNING, FREEZING SUPPLIES",1
COOKWARE,1
COSMETICS,1
CRACKERS,1
ETHNIC HABA,1
FLOUR,1
FRESH MEAT,1
FRUIT - DRIED,1
"HOUSEWARES, APPLIANCES",1
SEASONAL,1
NUTS,1
ORAL HYGIENE,1
PASTA,1
PHOTOGRAPHIC SUPPLIES,1
"PICKLES, OLIVES, AND RELISH",1
PREPARED FOOD-DRY MIXES,1
"SALAD DRESSINGS, MAYO, TOPPINGS",1
SEAFOOD - CANNED,1
YOGURT,1