,owner initial,2007,2008,owner last,,,,,
brand_descr,owner initial,2007,2008,owner last,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NEWTON'S CANDY STORE B,A Nut Above The Rest Inc,A Nut Above The Rest Inc,A Nut Above The Rest Inc,A Nut Above The Rest Inc,,,,,
BONUS! CS,Action Candy Company,Action Candy Company,Action Candy Company,Action Candy Company,,,,,
CANDY BREAK B,American Foods,American Foods,American Foods,American Foods,,,,,
CANDY BREAK DUBBLE BUBBLE B,American Foods,American Foods,American Foods,American Foods,,,,,
AU'SOME CANDIES-NBL B,Au'some,Au'some,Au'some,Au'some,,,,,
BRACH'S B,Brach's Confections,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
BUBBLE BLAST BS,Brand New Products,Brand New Products,Brand New Products,Brand New Products,,,,,
C HOWARD C,C. Howard's,C. Howard's,C. Howard's,C. Howard's,,,,,
ADAMS BEEMANS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BLACKJACK C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBALOO B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS BURSTS B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS INK'D B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CHICLETS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CHICLETS CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CLORETS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE BLAST CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE FIRE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE ICE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE TANGO CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS STRIDE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT BS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT FOR KIDS BS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT LAYERS CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT SPLASH CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT WHITE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS TRIDENT XTRA CARE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
TOXIC WASTE B,Candy Dynamics,Candy Dynamics,Candy Dynamics,Candy Dynamics,,,,,
CANEL'S C,Canel's,Canel's,Canel's,Canel's,,,,,
ZUM B,Canel's,Canel's,Canel's,Canel's,,,,,
CASA DE DULCE CANEL'S C,Casa Dulce,Casa Dulce,Casa Dulce,Casa Dulce,,,,,
GREEN TEA CS,CCA Industries,CCA Industries,CCA Industries,CCA Industries,,,,,
MEGA-T CS,CCA Industries,CCA Industries,CCA Industries,CCA Industries,,,,,
SMARTIES B,Ce De Candy,Ce De Candy,Ce De Candy,Ce De Candy,,,,,
ARM & HAMMER CS,Church & Dwight,Church & Dwight,Church & Dwight,Church & Dwight,,,,,
ARM & HAMMER DENTAL CARE CS,Church & Dwight,Church & Dwight,Church & Dwight,Church & Dwight,,,,,
CTL BR B,CTL Foods,CTL Foods,CTL Foods,CTL Foods,,,,,
CTL BR BS,CTL Foods,CTL Foods,CTL Foods,CTL Foods,,,,,
CTL BR C,CTL Foods,CTL Foods,CTL Foods,CTL Foods,,,,,
CTL BR CS,CTL Foods,CTL Foods,CTL Foods,CTL Foods,,,,,
DULCES VERO C,Dulces Vero,Dulces Vero,Dulces Vero,Dulces Vero,,,,,
EILLIEN'S B,Eillien's,Eillien's,Eillien's,Eillien's,,,,,
EL GUAPO C,El Guapo,El Guapo,El Guapo,El Guapo,,,,,
EL GUAPO CANEL'S C,El Guapo,El Guapo,El Guapo,El Guapo,,,,,
FARLEY'S SUPER BUBBLE B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
FRUIT STRIPE B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
FRUIT STRIPE C,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
FRUIT STRIPE CS,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
JUMBLO B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
RAIN-BLO B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
RAIN-BLO EGGS B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
RAIN-BLO EYES OF TERROR B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
RAIN-BLO HIDE AND SEEK EGGS B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
SATHERS B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
SUPER BUBBLE B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
SUPER BUBBLE TONGUE PAINTERS B,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
CAROUSEL B,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
CAROUSEL C,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
FORD GUM B,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
FORD GUM&MACHINE CO INC-NBL B,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
FORD GUM&MACHINE CO INC-NBL CS,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
YOWSER!! B,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
YOWSER!! HIP HEARTS B,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,Ford Gum & Machine Co.,,,,,
FRANKFORD CANDY&CHOCOLAT-NBL B,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,,,,,
FRANKFORD CANDY&CHOCOLAT-NBL C,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,,,,,
GALERIE-NBL B,Galerie Candy and Gifts,Galerie Candy and Gifts,Galerie Candy and Gifts,Galerie Candy and Gifts,,,,,
JOLT C,Gumrunners,Gumrunners,Gumrunners,Gumrunners,,,,,
BUBBLE YUM B,Hershey,Hershey,Hershey,Hershey,,,,,
BUBBLE YUM BS,Hershey,Hershey,Hershey,Hershey,,,,,
CARE*FREE BS,Hershey,Hershey,Hershey,Hershey,,,,,
CARE*FREE CS,Hershey,Hershey,Hershey,Hershey,,,,,
CARE*FREE KOOLERZ CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS C,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS CENTER CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS ICE CUBES CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS ICE CUBES WHIT CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS LIFT CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS RESTORE CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS SOURS CS,Hershey,Hershey,Hershey,Hershey,,,,,
ICE BREAKERS UNLEASHED CS,Hershey,Hershey,Hershey,Hershey,,,,,
HILCO B,Hilco,Hilco,Hilco,Hilco,,,,,
HILCO CORP-NBL B,Hilco,Hilco,Hilco,Hilco,,,,,
HILCO PUPPY PALS B,Hilco,Hilco,Hilco,Hilco,,,,,
HILCO YUMMY BUBBLE B,Hilco,Hilco,Hilco,Hilco,,,,,
FLIX BUBBLE TOONS B,Imaginings 3,Imaginings 3,Imaginings 3,Imaginings 3,,,,,
FLIX BUBBLE TOONS BS,Imaginings 3,Imaginings 3,Imaginings 3,Imaginings 3,,,,,
BUBBALOHA! B,Impact Confections,Impact Confections,Impact Confections,Impact Confections,,,,,
IMPERIAL TOY CORPORATION-NBL B,Imperial Toy,Imperial Toy,Imperial Toy,Imperial Toy,,,,,
IT'S DELISH! C,It's Delish,It's Delish,It's Delish,It's Delish,,,,,
JB GUM B,Jelly Belly Candy Co,Jelly Belly Candy Co,Jelly Belly Candy Co,Jelly Belly Candy Co,,,,,
MAD-CROC C,Mad Croc,Mad Croc,Mad Croc,Mad Croc,,,,,
MAD-CROC CS,Mad Croc,Mad Croc,Mad Croc,Mad Croc,,,,,
CANDY CARNIVAL B,Mayfair Sales Inc.,Mayfair Sales Inc.,Mayfair Sales Inc.,Mayfair Sales Inc.,,,,,
MAYFAIR B,Mayfair Sales Inc.,Mayfair Sales Inc.,Mayfair Sales Inc.,Mayfair Sales Inc.,,,,,
SNAK STOP B,Mount Franklin Foods,Mount Franklin Foods,Mount Franklin Foods,Mount Franklin Foods,,,,,
QUENCH C,Mueller Sports Medicine,Mueller Sports Medicine,Mueller Sports Medicine,Mueller Sports Medicine,,,,,
SWEETHEARTS,Necco,Necco,Necco,Necco,,,,,
BEE WONKA NERDS B,Nestlé,Nestlé,Nestlé,Nestlé,,,,,
WONKA B,Nestlé,Nestlé,Nestlé,Nestlé,,,,,
WONKA NERDS B,Nestlé,Nestlé,Nestlé,Nestlé,,,,,
AURA CS,New Era Brands,New Era Brands,New Era Brands,New Era Brands,,,,,
MENTOS CS,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,,,,,
MENTOS NEW CHARGE CS,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,,,,,
MENTOS PURE FRESH CS,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,,,,,
MENTOS PURE WHITE CS,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,Perfetti Van Melle,,,,,
PHILIPS SONICARE BREATH RX CS,Philips,Philips,Philips,Philips,,,,,
ALBERT'S B,"R.L. Albert & Son, Inc","R.L. Albert & Son, Inc","R.L. Albert & Son, Inc","R.L. Albert & Son, Inc",,,,,
BEECHIES C,Richardson Brands Co.,Richardson Brands Co.,Richardson Brands Co.,Richardson Brands Co.,,,,,
BLITZ POWER GUM CS,Schuster Products LLC,Schuster Products LLC,Schuster Products LLC,Schuster Products LLC,,,,,
SHARI DUBBLE BUBBLE B,Shari Candies,Shari Candies,Shari Candies,Shari Candies,,,,,
SHERWOOD EGG-STREME B,"Sherwood Brands, Inc.","Sherwood Brands, Inc.","Sherwood Brands, Inc.","Sherwood Brands, Inc.",,,,,
GOLD MINE B,SP Enterprises,SP Enterprises,SP Enterprises,SP Enterprises,,,,,
STARBUCKS AFTER COFFEE GUM C,Starbucks,Starbucks,Starbucks,Starbucks,,,,,
STARBUCKS AFTER COFFEE GUM CS,Starbucks,Starbucks,Starbucks,Starbucks,,,,,
STARBUCKS CS,Starbucks,Starbucks,Starbucks,Starbucks,,,,,
ELITE B,Strauss,Strauss,Strauss,Strauss,,,,,
ELITE C,Strauss,Strauss,Strauss,Strauss,,,,,
ELITE MUST CS,Strauss,Strauss,Strauss,Strauss,,,,,
SWEET N FUN LTD-NBL B,Sweet N Fun,Sweet N Fun,Sweet N Fun,Sweet N Fun,,,,,
BUBBLE KING B,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,,,,,
OAK LEAF B,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,,,,,
OAK LEAF SPOOKY EYES B,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,SweetWorks Confections,,,,,
SIDEWALK CHALK B,The Foreign Candy Company,The Foreign Candy Company,The Foreign Candy Company,The Foreign Candy Company,,,,,
THE YARDSTICK B,The Foreign Candy Company,The Foreign Candy Company,The Foreign Candy Company,The Foreign Candy Company,,,,,
THERA BREATH CS,TheraBreath,TheraBreath,TheraBreath,TheraBreath,,,,,
PREMIER VALUE B,Thrifty White,Thrifty White,Thrifty White,Thrifty White,,,,,
CRY BABY B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE BS,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE BUBBLE GUM FUN B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE C,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE CHICK FEED B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE DUBBLES B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE EGG HUNT FUN B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE HOMERUN B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE PAINTERZ B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
DUBBLE BUBBLE TONGUE SPLSHRS B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
KIDSMANIA DUBBLE BUBBLE B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
OFFICE PLEASURES C,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
RAZZLES C,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
TOPPS B,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA B,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA BS,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA BUBBLE JUICE B,Topps,Topps,Topps,Topps,,,,,
TOPPS BUBBLE JUICE B,Topps,Topps,Topps,Topps,,,,,
TOPPS BUBBLE JUICE BRKN HRTS B,Topps,Topps,Topps,Topps,,,,,
TOPPS C,Topps,Topps,Topps,Topps,,,,,
TOPPS HERITAGE B,Topps,Topps,Topps,Topps,,,,,
TOPPS HERITAGE BS,Topps,Topps,Topps,Topps,,,,,
TOPPS WACKY PACKAGES B,Topps,Topps,Topps,Topps,,,,,
TOPPS WACKY PACKAGES BS,Topps,Topps,Topps,Topps,,,,,
BLOOD BALLS B,unknown,unknown,unknown,unknown,,,,,
BUBBLE BABIES B,unknown,unknown,unknown,unknown,,,,,
BUBBLE BOOST BS,unknown,unknown,unknown,unknown,,,,,
CHICLEBYTES C,unknown,unknown,unknown,unknown,,,,,
COLLEGIATE WORLDWIDE-NBL CS,unknown,unknown,unknown,unknown,,,,,
CONCORD BAG O' BUBBLES B,unknown,unknown,unknown,unknown,,,,,
CRANBERRY CS,unknown,unknown,unknown,unknown,,,,,
CVP B,unknown,unknown,unknown,unknown,,,,,
DENTA FRESH CS,unknown,unknown,unknown,unknown,,,,,
EGG STREME B,unknown,unknown,unknown,unknown,,,,,
FRANKS B,unknown,unknown,unknown,unknown,,,,,
FRESH BLAST CS,unknown,unknown,unknown,unknown,,,,,
GENERIC B,unknown,unknown,unknown,unknown,,,,,
GLOBAL BRANDS B,unknown,unknown,unknown,unknown,,,,,
H & S CANDIES B,unknown,unknown,unknown,unknown,,,,,
HOP'N DROP B,unknown,unknown,unknown,unknown,,,,,
HOUSTON HARVEST GFT PROD-NBL B,unknown,unknown,unknown,unknown,,,,,
ICY BREEZE CS,unknown,unknown,unknown,unknown,,,,,
JL MANUFACTURING-NBL B,unknown,unknown,unknown,unknown,,,,,
JUST FOR FUN BUBBLE ROLLER B,unknown,unknown,unknown,unknown,,,,,
KID GUMBALL B,unknown,unknown,unknown,unknown,,,,,
KID'S BRANDS BUBBLE RUBBLE B,unknown,unknown,unknown,unknown,,,,,
MAXIM MARKETING CORPORTN-NBL B,unknown,unknown,unknown,unknown,,,,,
MOJAVE B,unknown,unknown,unknown,unknown,,,,,
MOJAVE C,unknown,unknown,unknown,unknown,,,,,
NBL-NO COMPANY LISTED B,unknown,unknown,unknown,unknown,,,,,
NBL-NO COMPANY LISTED C,unknown,unknown,unknown,unknown,,,,,
NUTTY GUYS.COM B,unknown,unknown,unknown,unknown,,,,,
OLD FASHIONED CANDY SHOP B,unknown,unknown,unknown,unknown,,,,,
PUMPKINHEADS B,unknown,unknown,unknown,unknown,,,,,
SCREECHERS B,unknown,unknown,unknown,unknown,,,,,
SPOOKY EYES B,unknown,unknown,unknown,unknown,,,,,
STARLINE SWEETS B,unknown,unknown,unknown,unknown,,,,,
STICK*FREE CS,unknown,unknown,unknown,unknown,,,,,
SWEET SPOT B,unknown,unknown,unknown,unknown,,,,,
THE CANDY SHOP B,unknown,unknown,unknown,unknown,,,,,
WORLD'S SPOOKY ROLLZ B,unknown,unknown,unknown,unknown,,,,,
GLEE GUM C,Verve,Verve,Verve,Verve,,,,,
ALTOIDS CS,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL CLUCKERS B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA BUBBLE BP B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA BUBBLE CN B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA OUCH B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL SANTA'S COAL B,Wrigley,Wrigley,Mars,Mars,,,,,
BIG LEAGUE CHEW B,Wrigley,Wrigley,Mars,Mars,,,,,
M&M MARS SKITTLES B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S 5 CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S BIG RED C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S DOUBLEMINT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE BREEZE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE FUSION CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA BS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA FRUIT SNTNS CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S FREEDENT B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HB BBL TP BSK TRTS B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA BBL JG B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA BBL TP B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA CHNGRZ B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA GLOP B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA MAX B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA OUCH! BS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT SOURS C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT MIST CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT WHITE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S SPEARMINT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S WINTERFRESH C,Wrigley,Wrigley,Mars,Mars,,,,,
POP ROCKS B,Zeta Espacial SA,Zeta Espacial SA,Zeta Espacial SA,Zeta Espacial SA,,,,,