,t,Price,Change
0,2000-02-01,0.86,-
1,2000-03-01,0.93,0.0814
2,2000-04-01,0.91,-0.0215
3,2000-05-01,0.92,0.011
4,2000-06-01,0.95,0.0326
5,2000-07-01,0.97,0.0211
6,2000-08-01,0.89,-0.0825
7,2000-09-01,0.88,-0.0112
8,2000-10-01,0.88,0
9,2000-11-01,0.88,0
10,2000-12-01,0.89,0.0114
11,2001-01-01,1.0,0.1236
12,2001-02-01,0.89,-0.11
13,2001-03-01,1.12,0.2584
14,2001-04-01,1.08,-0.0357
15,2001-05-01,1.08,0
16,2001-06-01,0.97,-0.1019
17,2001-07-01,0.97,0
18,2001-08-01,1.03,0.0619
19,2001-09-01,1.02,-0.0097
20,2001-10-01,1.08,0.0588
21,2001-11-01,1.23,0.1389
22,2001-12-01,1.34,0.0894
23,2002-01-01,1.39,0.0373
24,2002-02-01,1.49,0.0719
25,2002-03-01,1.59,0.0671
26,2002-04-01,1.57,-0.0126
27,2002-05-01,1.6,0.0191
28,2002-06-01,1.66,0.0375
29,2002-07-01,1.87,0.1265
30,2002-08-01,1.96,0.0481
31,2002-09-01,2.16,0.102
32,2002-10-01,2.2,0.0185
33,2002-11-01,1.81,-0.1773
34,2002-12-01,2.03,0.1215
35,2003-01-01,2.18,0.0739
36,2003-02-01,2.28,0.0459
37,2003-03-01,1.95,-0.1447
38,2003-04-01,1.92,-0.0154
39,2003-05-01,1.74,-0.0937
40,2003-06-01,1.57,-0.0977
41,2003-07-01,1.56,-0.0064
42,2003-08-01,1.55,-0.0064
43,2003-09-01,1.64,0.0581
44,2003-10-01,1.48,-0.0976
45,2003-11-01,1.51,0.0203
46,2003-12-01,1.63,0.0795
47,2004-01-01,1.63,0
48,2004-02-01,1.57,-0.0368
49,2004-03-01,1.5,-0.0446
50,2004-04-01,1.44,-0.04
51,2004-05-01,1.42,-0.0139
52,2004-06-01,1.4,-0.0141
53,2004-07-01,1.56,0.1143
54,2004-08-01,1.73,0.109
55,2004-09-01,1.55,-0.104
56,2004-10-01,1.48,-0.0452
57,2004-11-01,1.66,0.1216
58,2004-12-01,1.66,0
59,2005-01-01,1.55,-0.0663
60,2005-02-01,1.63,0.0516
61,2005-03-01,1.76,0.0798
62,2005-04-01,1.59,-0.0966
63,2005-05-01,1.51,-0.0503
64,2005-06-01,1.54,0.0199
65,2005-07-01,1.49,-0.0325
66,2005-08-01,1.48,-0.0067
67,2005-09-01,1.5,0.0135
68,2005-10-01,1.46,-0.0267
69,2005-11-01,1.44,-0.0137
70,2005-12-01,1.51,0.0486
71,2006-01-01,1.57,0.0397
72,2006-02-01,1.55,-0.0127
73,2006-03-01,1.55,0
74,2006-04-01,1.55,0
75,2006-05-01,1.6,0.0323
76,2006-06-01,1.61,0.0062
77,2006-07-01,1.68,0.0435
78,2006-08-01,1.62,-0.0357
79,2006-09-01,1.57,-0.0309
80,2006-10-01,1.53,-0.0255
81,2006-11-01,1.58,0.0327
82,2006-12-01,1.71,0.0823
83,2007-01-01,1.7,-0.0058
84,2007-02-01,1.82,0.0706
85,2007-03-01,1.92,0.0549
86,2007-04-01,1.98,0.0313
87,2007-05-01,2.0,0.0101
88,2007-06-01,2.02,0.01
89,2007-07-01,2.16,0.0693
90,2007-08-01,1.91,-0.1157
91,2007-09-01,1.93,0.0105
92,2007-10-01,1.91,-0.0104
93,2007-11-01,1.97,0.0314
94,2007-12-01,2.11,0.0711
95,2008-01-01,2.2,0.0427
96,2008-02-01,2.5,0.1364
97,2008-03-01,2.73,0.092
98,2008-04-01,2.61,-0.044
99,2008-05-01,2.68,0.0268
100,2008-06-01,3.0,0.1194
101,2008-07-01,2.97,-0.01
102,2008-08-01,2.82,-0.0505
103,2008-09-01,2.7,-0.0426
104,2008-10-01,2.27,-0.1593
105,2008-11-01,2.05,-0.0969
106,2008-12-01,2.39,0.1659
107,2009-01-01,2.63,0.1004
108,2009-02-01,2.65,0.0076
109,2009-03-01,2.51,-0.0528
110,2009-04-01,2.56,0.0199
111,2009-05-01,2.48,-0.0312
112,2009-06-01,2.7,0.0887
113,2009-07-01,2.79,0.0333
114,2009-08-01,2.96,0.0609
115,2009-09-01,3.14,0.0608
116,2009-10-01,3.37,0.0732
117,2009-11-01,3.38,0.003
118,2009-12-01,3.5,0.0355
119,2010-01-01,3.53,0.0086
120,2010-02-01,3.28,-0.0708
121,2010-03-01,3.09,-0.0579
122,2010-04-01,3.22,0.0421
123,2010-05-01,3.18,-0.0124
124,2010-06-01,3.23,0.0157
125,2010-07-01,3.23,0
126,2010-08-01,3.07,-0.0495
127,2010-09-01,2.88,-0.0619
128,2010-10-01,2.93,0.0174
129,2010-11-01,2.91,-0.0068
130,2010-12-01,3.06,0.0515
131,2011-01-01,3.16,0.0327
132,2011-02-01,3.47,0.0981
133,2011-03-01,3.39,-0.0231
134,2011-04-01,3.13,-0.0767
135,2011-05-01,3.07,-0.0192
136,2011-06-01,3.02,-0.0163
137,2011-07-01,3.17,0.0497
138,2011-08-01,3.06,-0.0347
139,2011-09-01,2.87,-0.0621
140,2011-10-01,2.68,-0.0662
141,2011-11-01,2.53,-0.056
142,2011-12-01,2.2,-0.1304
143,2012-01-01,2.31,0.05
144,2012-02-01,2.36,0.0216
145,2012-03-01,2.36,0
146,2012-04-01,2.27,-0.0381
147,2012-05-01,2.31,0.0176
148,2012-06-01,2.26,-0.0216
149,2012-07-01,2.35,0.0398
150,2012-08-01,2.51,0.0681
151,2012-09-01,2.62,0.0438
152,2012-10-01,2.46,-0.0611
153,2012-11-01,2.48,0.0081
154,2012-12-01,2.41,-0.0282
155,2013-01-01,2.28,-0.0539
156,2013-02-01,2.2,-0.0351
157,2013-03-01,2.15,-0.0227
158,2013-04-01,2.29,0.0651
159,2013-05-01,2.34,0.0218
160,2013-06-01,2.28,-0.0256
161,2013-07-01,2.31,0.0132
162,2013-08-01,2.48,0.0736
163,2013-09-01,2.62,0.0565
164,2013-10-01,2.73,0.042
165,2013-11-01,2.76,0.011
166,2013-12-01,2.82,0.0217
167,2014-01-01,2.82,0
168,2014-02-01,2.99,0.0603
169,2014-03-01,3.04,0.0167
170,2014-04-01,3.05,0.0033
171,2014-05-01,3.03,-0.0066
172,2014-06-01,3.17,0.0462
173,2014-07-01,3.2,0.0095
174,2014-08-01,3.27,0.0219
175,2014-09-01,3.21,-0.0183
176,2014-10-01,3.1,-0.0343
177,2014-11-01,2.91,-0.0613
178,2014-12-01,2.95,0.0137
179,2015-01-01,2.92,-0.0102
180,2015-02-01,2.96,0.0137
181,2015-03-01,2.88,-0.027
182,2015-04-01,2.87,-0.0041
183,2015-05-01,3.1,0.0808
184,2015-06-01,3.24,0.0452
185,2015-07-01,3.33,0.0278
186,2015-08-01,3.15,-0.0541
187,2015-09-01,3.28,0.0413
188,2015-10-01,3.2,-0.0244
189,2015-11-01,3.36,0.05
190,2015-12-01,3.35,-0.003
191,2016-01-01,2.95,-0.1194
192,2016-02-01,2.92,-0.0102
193,2016-03-01,3.07,0.0514
194,2016-04-01,3.08,0.0033
195,2016-05-01,3.1,0.0065
196,2016-06-01,3.12,0.0065
197,2016-07-01,3.05,-0.0224
198,2016-08-01,3.03,-0.0066
199,2016-09-01,2.88,-0.0495
200,2016-10-01,2.71,-0.059
201,2016-11-01,2.48,-0.0849
202,2016-12-01,2.3,-0.0726
203,2017-01-01,2.19,-0.0478
204,2017-02-01,2.03,-0.0731
205,2017-03-01,2.06,0.0148
206,2017-04-01,1.96,-0.0485
207,2017-05-01,1.98,0.0102
208,2017-06-01,2.0,0.0101
209,2017-07-01,1.99,-0.005
210,2017-08-01,1.99,0
211,2017-09-01,2.0,0.005
212,2017-10-01,2.1,0.05
213,2017-11-01,2.13,0.0143
214,2017-12-01,1.92,-0.0986
215,2018-01-01,1.95,0.0156
216,2018-02-01,2.12,0.0872
217,2018-03-01,2.5,0.1792
218,2018-04-01,2.62,0.048
219,2018-05-01,2.66,0.0153
220,2018-06-01,2.41,-0.094
221,2018-07-01,2.36,-0.0207
222,2018-08-01,2.17,-0.0805
223,2018-09-01,2.19,0.0092
224,2018-10-01,2.13,-0.0274
225,2018-11-01,2.19,0.0282
226,2018-12-01,2.21,0.0091
227,2019-01-01,2.26,0.0226
228,2019-02-01,2.26,0
229,2019-03-01,2.2,-0.0265
230,2019-04-01,2.33,0.0591
231,2019-05-01,2.32,-0.0043
232,2019-06-01,2.41,0.0388
233,2019-07-01,2.42,0.0041
234,2019-08-01,2.19,-0.095
235,2019-09-01,2.31,0.0548
236,2019-10-01,2.44,0.0563
237,2019-11-01,2.52,0.0328
238,2019-12-01,2.44,-0.0317
239,2020-01-01,2.6,0.0656
